,Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote,Population,Mandate
0,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,Under 1 year,0.0,17.0,0.0,0.0,0.0,0.0,,4914748.0,0
1,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
2,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,5-14 years,0.0,11.0,0.0,0.0,0.0,0.0,,4914748.0,0
3,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,15-24 years,0.0,43.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
4,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,18-29 years,0.0,53.0,0.0,0.0,0.0,0.0,,4914748.0,0
5,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,25-34 years,0.0,55.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
6,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,30-39 years,0.0,67.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
7,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,35-44 years,0.0,82.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
8,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,40-49 years,0.0,129.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
9,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,45-54 years,0.0,175.0,0.0,0.0,0.0,10.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
10,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,50-64 years,0.0,521.0,28.0,0.0,0.0,35.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
11,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,55-64 years,0.0,425.0,26.0,0.0,0.0,32.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
12,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,65-74 years,0.0,588.0,36.0,0.0,0.0,45.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
13,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,75-84 years,0.0,587.0,49.0,0.0,0.0,52.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
14,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,85 years and over,0.0,411.0,27.0,0.0,0.0,28.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
15,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,Under 1 year,0.0,14.0,0.0,0.0,0.0,0.0,,4914748.0,0
16,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
17,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
18,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,15-24 years,0.0,13.0,0.0,0.0,0.0,0.0,,4914748.0,0
19,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,18-29 years,0.0,19.0,0.0,0.0,0.0,0.0,,4914748.0,0
20,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,25-34 years,0.0,22.0,0.0,0.0,0.0,0.0,,4914748.0,0
21,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,30-39 years,0.0,36.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
22,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,35-44 years,0.0,49.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
23,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,40-49 years,0.0,69.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
24,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,45-54 years,0.0,122.0,10.0,0.0,0.0,11.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
25,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,50-64 years,0.0,374.0,23.0,0.0,0.0,29.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
26,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,55-64 years,0.0,294.0,15.0,0.0,0.0,20.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
27,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,65-74 years,0.0,446.0,28.0,0.0,0.0,30.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
28,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,75-84 years,0.0,591.0,37.0,0.0,0.0,39.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4914748.0,0
29,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,85 years and over,0.0,766.0,37.0,0.0,0.0,37.0,,4914748.0,0
30,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,Under 1 year,0.0,25.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
31,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
32,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
33,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,15-24 years,0.0,38.0,0.0,0.0,0.0,0.0,,4915879.0,0
34,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,18-29 years,0.0,60.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
35,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,25-34 years,0.0,72.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
36,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,30-39 years,0.0,90.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
37,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,35-44 years,0.0,89.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
38,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,40-49 years,0.0,113.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
39,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,45-54 years,0.0,180.0,0.0,0.0,0.0,11.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4915879.0,0
