,Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote,Population
18,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,Under 1 year,0.0,17.0,0.0,0.0,0.0,0.0,,4917368.0
20,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
21,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,5-14 years,0.0,11.0,0.0,0.0,0.0,0.0,,4917368.0
22,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,15-24 years,0.0,43.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
24,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,25-34 years,0.0,55.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
26,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,35-44 years,0.0,82.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
28,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,45-54 years,0.0,175.0,0.0,0.0,0.0,10.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
30,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,55-64 years,0.0,425.0,26.0,0.0,0.0,32.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
31,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,65-74 years,0.0,588.0,36.0,0.0,0.0,45.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
32,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,75-84 years,0.0,587.0,49.0,0.0,0.0,52.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
33,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Male,85 years and over,0.0,411.0,27.0,0.0,0.0,28.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
35,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,Under 1 year,0.0,14.0,0.0,0.0,0.0,0.0,,4917368.0
37,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
38,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
39,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,15-24 years,0.0,13.0,0.0,0.0,0.0,0.0,,4917368.0
41,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,25-34 years,0.0,22.0,0.0,0.0,0.0,0.0,,4917368.0
43,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,35-44 years,0.0,49.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
45,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,45-54 years,0.0,122.0,10.0,0.0,0.0,11.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
47,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,55-64 years,0.0,294.0,15.0,0.0,0.0,20.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
48,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,65-74 years,0.0,446.0,28.0,0.0,0.0,30.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
49,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,75-84 years,0.0,591.0,37.0,0.0,0.0,39.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4917368.0
50,3/10/2021,1/1/2020,1/31/2020,By Month,2020.0,1.0,Alabama,Female,85 years and over,0.0,766.0,37.0,0.0,0.0,37.0,,4917368.0
69,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,Under 1 year,0.0,25.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
71,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
72,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
73,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,15-24 years,0.0,38.0,0.0,0.0,0.0,0.0,,4918576.0
75,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,25-34 years,0.0,72.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
77,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,35-44 years,0.0,89.0,0.0,0.0,0.0,0.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
79,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,45-54 years,0.0,180.0,0.0,0.0,0.0,11.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
81,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,55-64 years,0.0,447.0,30.0,0.0,0.0,39.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
82,3/10/2021,2/1/2020,2/29/2020,By Month,2020.0,2.0,Alabama,Male,65-74 years,0.0,563.0,35.0,0.0,0.0,40.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4918576.0
