State,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20
Alabama,4907965.0,4909643.0,4911314.0,4912952.0,4914526.0,4916008.0,4917368.0,4918576.0,4919605.0,4920433.0,4921038.0,4921408.0,4921532.0
Alaska,733603.0,733322.0,733037.0,732752.0,732472.0,732203.0,731952.0,731726.0,731530.0,731371.0,731254.0,731182.0,731158.0
Arizona,7291843.0,7306932.0,7322265.0,7337562.0,7352511.0,7366778.0,7380019.0,7391901.0,7402109.0,7410365.0,7416436.0,7420151.0,7421401.0
Arkansas,3020985.0,3022120.0,3023268.0,3024407.0,3025514.0,3026564.0,3027532.0,3028396.0,3029135.0,3029730.0,3030166.0,3030432.0,3030522.0
California,39437610.0,39431164.0,39424013.0,39416369.0,39408480.0,39400615.0,39393055.0,39386080.0,39379956.0,39374919.0,39371171.0,39368859.0,39368078.0
Colorado,5758486.0,5764459.0,5770437.0,5776327.0,5782023.0,5787412.0,5792378.0,5796809.0,5800598.0,5803651.0,5805891.0,5807259.0,5807719.0
Connecticut,3566022.0,3564910.0,3563797.0,3562705.0,3561655.0,3560668.0,3559763.0,3558961.0,3558279.0,3557732.0,3557332.0,3557088.0,3557006.0
Delaware,976668.0,977849.0,979050.0,980249.0,981420.0,982537.0,983574.0,984503.0,985302.0,985947.0,986421.0,986711.0,986809.0
District of Columbia,708253.0,708780.0,709319.0,709859.0,710387.0,710891.0,711359.0,711778.0,712138.0,712428.0,712642.0,712772.0,712816.0
Florida,21492056.0,21520015.0,21548480.0,21576922.0,21604752.0,21631338.0,21656035.0,21678210.0,21697271.0,21712691.0,21724034.0,21730976.0,21733312.0
Georgia,10628020.0,10638380.0,10648616.0,10658579.0,10668108.0,10677036.0,10685193.0,10692418.0,10698560.0,10703486.0,10707086.0,10709280.0,10710017.0
Hawaii,1415615.0,1414599.0,1413569.0,1412545.0,1411548.0,1410600.0,1409724.0,1408940.0,1408269.0,1407728.0,1407331.0,1407088.0,1407006.0
Idaho,1789060.0,1793514.0,1798027.0,1802518.0,1806894.0,1811059.0,1814915.0,1818369.0,1821330.0,1823721.0,1825478.0,1826552.0,1826913.0
Illinois,12667017.0,12658427.0,12649463.0,12640316.0,12631206.0,12622373.0,12614066.0,12606530.0,12600000.0,12594684.0,12590755.0,12588343.0,12587530.0
Indiana,6731010.0,6733961.0,6736895.0,6739770.0,6742539.0,6745151.0,6747554.0,6749693.0,6751521.0,6752993.0,6754072.0,6754731.0,6754953.0
Iowa,3159596.0,3160288.0,3160914.0,3161468.0,3161950.0,3162361.0,3162703.0,3162980.0,3163198.0,3163361.0,3163473.0,3163539.0,3163561.0
Kansas,2912635.0,2912703.0,2912795.0,2912907.0,2913035.0,2913171.0,2913309.0,2913442.0,2913562.0,2913664.0,2913741.0,2913789.0,2913805.0
Kentucky,4472345.0,4473081.0,4473776.0,4474421.0,4475008.0,4475532.0,4475989.0,4476376.0,4476692.0,4476937.0,4477112.0,4477216.0,4477251.0
Louisiana,4658285.0,4656986.0,4655590.0,4654133.0,4652656.0,4651202.0,4649819.0,4648553.0,4647447.0,4646542.0,4645871.0,4645457.0,4645318.0
Maine,1345770.0,1346306.0,1346840.0,1347363.0,1347868.0,1348345.0,1348785.0,1349176.0,1349511.0,1349781.0,1349979.0,1350100.0,1350141.0
Maryland,6054954.0,6055460.0,6055833.0,6056081.0,6056220.0,6056266.0,6056241.0,6056168.0,6056070.0,6055968.0,6055881.0,6055822.0,6055802.0
Massachusetts,6894883.0,6895008.0,6895036.0,6894978.0,6894852.0,6894673.0,6894464.0,6894242.0,6894029.0,6893843.0,6893697.0,6893605.0,6893574.0
Michigan,9984795.0,9982989.0,9981030.0,9978975.0,9976887.0,9974832.0,9972880.0,9971096.0,9969541.0,9968270.0,9967329.0,9966750.0,9966555.0
Minnesota,5640053.0,5642426.0,5644705.0,5646869.0,5648891.0,5650749.0,5652417.0,5653873.0,5655095.0,5656067.0,5656771.0,5657199.0,5657342.0
Mississippi,2978227.0,2977144.0,2975957.0,2974697.0,2973402.0,2972113.0,2970875.0,2969734.0,2968731.0,2967906.0,2967293.0,2966914.0,2966786.0
Missouri,6140475.0,6141912.0,6143323.0,6144687.0,6145981.0,6147185.0,6148276.0,6149236.0,6150047.0,6150694.0,6151166.0,6151452.0,6151548.0
Montana,1070123.0,1071315.0,1072538.0,1073767.0,1074975.0,1076131.0,1077207.0,1078173.0,1079005.0,1079677.0,1080172.0,1080475.0,1080577.0
Nebraska,1932571.0,1933194.0,1933811.0,1934412.0,1934989.0,1935531.0,1936028.0,1936470.0,1936847.0,1937150.0,1937371.0,1937507.0,1937552.0
Nevada,3090771.0,3096636.0,3102472.0,3108191.0,3113694.0,3118879.0,3123640.0,3127875.0,3131488.0,3134394.0,3136523.0,3137822.0,3138259.0
New Hampshire,1360783.0,1361435.0,1362092.0,1362745.0,1363379.0,1363983.0,1364541.0,1365040.0,1365468.0,1365814.0,1366068.0,1366223.0,1366275.0
New Jersey,8891258.0,8890520.0,8889669.0,8888730.0,8887736.0,8886724.0,8885734.0,8884808.0,8883986.0,8883305.0,8882794.0,8882478.0,8882371.0
New Mexico,2099634.0,2100456.0,2101280.0,2102091.0,2102871.0,2103605.0,2104277.0,2104872.0,2105377.0,2105782.0,2106078.0,2106258.0,2106319.0
New York,19463131.0,19449470.0,19435196.0,19420627.0,19406123.0,19392071.0,19378866.0,19366900.0,19356539.0,19348110.0,19341883.0,19338064.0,19336776.0
North Carolina,10501384.0,10513243.0,10525192.0,10537027.0,10548521.0,10559435.0,10569522.0,10578541.0,10586269.0,10592504.0,10597083.0,10599882.0,10600823.0
North Dakota,763724.0,764004.0,764258.0,764482.0,764677.0,764842.0,764978.0,765087.0,765171.0,765234.0,765276.0,765301.0,765309.0
Ohio,11696507.0,11696725.0,11696734.0,11696560.0,11696235.0,11695800.0,11695299.0,11694776.0,11694277.0,11693841.0,11693504.0,11693290.0,11693217.0
Oklahoma,3960676.0,3963029.0,3965423.0,3967810.0,3970138.0,3972356.0,3974408.0,3976245.0,3977819.0,3979089.0,3980021.0,3980591.0,3980783.0
Oregon,4216116.0,4219260.0,4222386.0,4225446.0,4228389.0,4231160.0,4233704.0,4235966.0,4237894.0,4239445.0,4240581.0,4241274.0,4241507.0
Pennsylvania,12798883.0,12796986.0,12795072.0,12793182.0,12791358.0,12789639.0,12788062.0,12786664.0,12785474.0,12784519.0,12783822.0,12783397.0,12783254.0
Rhode Island,1058158.0,1057972.0,1057803.0,1057653.0,1057523.0,1057415.0,1057327.0,1057258.0,1057206.0,1057169.0,1057144.0,1057130.0,1057125.0
South Carolina,5157702.0,5164929.0,5172204.0,5179400.0,5186381.0,5193001.0,5199113.0,5204573.0,5209247.0,5213016.0,5215782.0,5217472.0,5218040.0
South Dakota,887127.0,887873.0,888600.0,889296.0,889951.0,890556.0,891101.0,891578.0,891979.0,892298.0,892529.0,892670.0,892717.0
Tennessee,6830325.0,6836727.0,6843294.0,6849901.0,6856403.0,6862647.0,6868472.0,6873721.0,6878246.0,6881916.0,6884620.0,6886276.0,6886834.0
Texas,28986794.0,29030710.0,29075255.0,29119599.0,29162834.0,29203999.0,29242124.0,29276265.0,29305547.0,29329193.0,29346565.0,29357186.0,29360759.0
Utah,3203383.0,3208886.0,3214449.0,3219974.0,3225350.0,3230461.0,3235190.0,3239420.0,3243047.0,3245974.0,3248123.0,3249437.0,3249879.0
Vermont,624046.0,623980.0,623908.0,623833.0,623756.0,623678.0,623602.0,623532.0,623470.0,623418.0,623379.0,623355.0,623347.0
Virginia,8556642.0,8561093.0,8565447.0,8569641.0,8573610.0,8577290.0,8580620.0,8583543.0,8586009.0,8587974.0,8589404.0,8590272.0,8590563.0
Washington,7614024.0,7623579.0,7633192.0,7642697.0,7651912.0,7660644.0,7668701.0,7675893.0,7682046.0,7687005.0,7690643.0,7692865.0,7693612.0
West Virginia,1795263.0,1794044.0,1792806.0,1791570.0,1790362.0,1789208.0,1788137.0,1787176.0,1786349.0,1785681.0,1785189.0,1784888.0,1784787.0
Wisconsin,5824581.0,5825742.0,5826844.0,5827876.0,5828827.0,5829689.0,5830454.0,5831113.0,5831661.0,5832093.0,5832404.0,5832592.0,5832655.0
Wyoming,580116.0,580343.0,580584.0,580834.0,581086.0,581334.0,581568.0,581783.0,581969.0,582122.0,582235.0,582305.0,582328.0
