State,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20
Alabama,4907965.0,4909096.0,4910226.0,4911357.0,4912487.0,4913618.0,4914748.0,4915879.0,4917010.0,4918140.0,4919271.0,4920401.0,4921532.0
Alaska,733603.0,733399.0,733195.0,732992.0,732788.0,732584.0,732380.0,732177.0,731973.0,731769.0,731566.0,731362.0,731158.0
Arizona,7291843.0,7302639.0,7313436.0,7324232.0,7335029.0,7345826.0,7356622.0,7367418.0,7378215.0,7389012.0,7399808.0,7410605.0,7421401.0
Arkansas,3020985.0,3021780.0,3022575.0,3023369.0,3024164.0,3024959.0,3025754.0,3026548.0,3027343.0,3028138.0,3028932.0,3029727.0,3030522.0
California,39437610.0,39431816.0,39426021.0,39420227.0,39414433.0,39408638.0,39402844.0,39397050.0,39391255.0,39385461.0,39379667.0,39373872.0,39368078.0
Colorado,5758486.0,5762589.0,5766692.0,5770794.0,5774897.0,5779000.0,5783102.0,5787205.0,5791308.0,5795411.0,5799513.0,5803616.0,5807719.0
Connecticut,3566022.0,3565271.0,3564519.0,3563768.0,3563017.0,3562265.0,3561514.0,3560763.0,3560011.0,3559260.0,3558509.0,3557757.0,3557006.0
Delaware,976668.0,977513.0,978358.0,979203.0,980048.0,980893.0,981738.0,982584.0,983429.0,984274.0,985119.0,985964.0,986809.0
District of Columbia,708253.0,708633.0,709014.0,709394.0,709774.0,710154.0,710534.0,710915.0,711295.0,711675.0,712055.0,712436.0,712816.0
Florida,21492056.0,21512161.0,21532265.0,21552370.0,21572475.0,21592579.0,21612684.0,21632789.0,21652893.0,21672998.0,21693103.0,21713207.0,21733312.0
Georgia,10628020.0,10634853.0,10641686.0,10648519.0,10655352.0,10662185.0,10669018.0,10675852.0,10682685.0,10689518.0,10696351.0,10703184.0,10710017.0
Hawaii,1415615.0,1414898.0,1414180.0,1413463.0,1412745.0,1412028.0,1411310.0,1410593.0,1409876.0,1409158.0,1408441.0,1407723.0,1407006.0
Idaho,1789060.0,1792214.0,1795369.0,1798523.0,1801678.0,1804832.0,1807986.0,1811141.0,1814295.0,1817450.0,1820604.0,1823759.0,1826913.0
Illinois,12667017.0,12660393.0,12653769.0,12647145.0,12640521.0,12633897.0,12627274.0,12620650.0,12614026.0,12607402.0,12600778.0,12594154.0,12587530.0
