State,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20
Alabama,4907965.0,4909225.0,4910451.0,4911646.0,4912814.0,4913957.0,4915079.0,4916183.0,4917271.0,4918347.0,4919414.0,4920474.0,4921532.0
Alaska,733603.0,733394.0,733186.0,732980.0,732774.0,732570.0,732367.0,732164.0,731962.0,731761.0,731559.0,731359.0,731158.0
Arizona,7291843.0,7302639.0,7313434.0,7324231.0,7335027.0,7345823.0,7356620.0,7367416.0,7378213.0,7389010.0,7399807.0,7410604.0,7421401.0
Arkansas,3020985.0,3021768.0,3022553.0,3023342.0,3024133.0,3024927.0,3025722.0,3026520.0,3027318.0,3028118.0,3028919.0,3029720.0,3030522.0
California,39437610.0,39433724.0,39429341.0,39424505.0,39419261.0,39413656.0,39407733.0,39401539.0,39395118.0,39388517.0,39381779.0,39374951.0,39368078.0
Colorado,5758486.0,5762844.0,5767135.0,5771366.0,5775543.0,5779671.0,5783756.0,5787806.0,5791825.0,5795819.0,5799796.0,5803761.0,5807719.0
Connecticut,3566022.0,3565200.0,3564397.0,3563610.0,3562838.0,3562080.0,3561334.0,3560597.0,3559869.0,3559147.0,3558431.0,3557718.0,3557006.0
Delaware,976668.0,977499.0,978334.0,979172.0,980013.0,980856.0,981702.0,982550.0,983400.0,984251.0,985103.0,985956.0,986809.0
District of Columbia,708253.0,708591.0,708940.0,709299.0,709667.0,710043.0,710426.0,710815.0,711209.0,711608.0,712009.0,712412.0,712816.0
Florida,21492056.0,21511724.0,21531505.0,21551391.0,21571369.0,21591431.0,21611565.0,21631761.0,21652009.0,21672299.0,21692619.0,21712960.0,21733312.0
Georgia,10628020.0,10635967.0,10643623.0,10651015.0,10658170.0,10665113.0,10671871.0,10678471.0,10684939.0,10691301.0,10697583.0,10703813.0,10710017.0
Hawaii,1415615.0,1414883.0,1414155.0,1413431.0,1412709.0,1411990.0,1411274.0,1410559.0,1409847.0,1409135.0,1408425.0,1407715.0,1407006.0
Idaho,1789060.0,1792240.0,1795413.0,1798580.0,1801742.0,1804899.0,1808051.0,1811200.0,1814347.0,1817490.0,1820632.0,1823773.0,1826913.0
Illinois,12667017.0,12661260.0,12655277.0,12649088.0,12642714.0,12636176.0,12629494.0,12622688.0,12615780.0,12608789.0,12601737.0,12594644.0,12587530.0
Indiana,6731010.0,6733262.0,6735448.0,6737572.0,6739642.0,6741662.0,6743640.0,6745582.0,6747492.0,6749379.0,6751247.0,6753103.0,6754953.0
Iowa,3159596.0,3160201.0,3160734.0,3161202.0,3161611.0,3161969.0,3162281.0,3162554.0,3162794.0,3163009.0,3163204.0,3163386.0,3163561.0
Kansas,2912635.0,2912648.0,2912684.0,2912739.0,2912812.0,2912902.0,2913005.0,2913120.0,2913245.0,2913378.0,2913517.0,2913660.0,2913805.0
Kentucky,4472345.0,4472894.0,4473406.0,4473885.0,4474334.0,4474757.0,4475156.0,4475536.0,4475899.0,4476248.0,4476588.0,4476921.0,4477251.0
Louisiana,4658285.0,4657493.0,4656625.0,4655689.0,4654692.0,4653640.0,4652540.0,4651399.0,4650224.0,4649021.0,4647798.0,4646561.0,4645318.0
Maine,1345770.0,1346194.0,1346602.0,1346996.0,1347377.0,1347747.0,1348107.0,1348459.0,1348804.0,1349143.0,1349478.0,1349810.0,1350141.0
Maryland,6054954.0,6055505.0,6055931.0,6056243.0,6056453.0,6056571.0,6056609.0,6056579.0,6056492.0,6056359.0,6056193.0,6056003.0,6055802.0
Massachusetts,6894883.0,6895092.0,6895219.0,6895270.0,6895252.0,6895175.0,6895044.0,6894869.0,6894655.0,6894411.0,6894145.0,6893863.0,6893574.0
Michigan,9984795.0,9983788.0,9982647.0,9981385.0,9980013.0,9978543.0,9976989.0,9975361.0,9973673.0,9971936.0,9970163.0,9968365.0,9966555.0
Minnesota,5640053.0,5641969.0,5643761.0,5645441.0,5647018.0,5648506.0,5649915.0,5651256.0,5652541.0,5653781.0,5654987.0,5656170.0,5657342.0
Mississippi,2978227.0,2977594.0,2976878.0,2976086.0,2975225.0,2974303.0,2973328.0,2972307.0,2971249.0,2970160.0,2969048.0,2967921.0,2966786.0
Missouri,6140475.0,6141549.0,6142583.0,6143582.0,6144548.0,6145486.0,6146399.0,6147290.0,6148163.0,6149022.0,6149870.0,6150711.0,6151548.0
Montana,1070123.0,1070925.0,1071744.0,1072581.0,1073432.0,1074296.0,1075172.0,1076058.0,1076952.0,1077852.0,1078758.0,1079667.0,1080577.0
