State,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20
Alabama,4907965.0,4908873.0,4909661.0,4910338.0,4910923.0,4911450.0,4911974.0,4912568.0,4913338.0,4914419.0,4915988.0,4918267.0,4921532.0
Alaska,733603.0,732888.0,732060.0,731134.0,730138.0,729117.0,728141.0,727303.0,726731.0,726591.0,727095.0,728508.0,731158.0
Arizona,7291843.0,7297597.0,7302229.0,7305884.0,7308846.0,7311569.0,7314724.0,7319247.0,7326394.0,7337806.0,7355581.0,7382356.0,7421401.0
Arkansas,3020985.0,3022326.0,3023778.0,3025323.0,3026925.0,3028535.0,3030084.0,3031478.0,3032593.0,3033275.0,3033327.0,3032507.0,3030522.0
California,39437610.0,39439543.0,39442286.0,39445702.0,39449499.0,39453190.0,39456045.0,39457033.0,39454760.0,39447394.0,39432587.0,39407375.0,39368078.0
Colorado,5758486.0,5761839.0,5765041.0,5768158.0,5771273.0,5774475.0,5777864.0,5781542.0,5785617.0,5790189.0,5795351.0,5801179.0,5807719.0
Connecticut,3566022.0,3564331.0,3562500.0,3560567.0,3558584.0,3556629.0,3554801.0,3553235.0,3552102.0,3551614.0,3552040.0,3553705.0,3557006.0
Delaware,976668.0,977520.0,978384.0,979259.0,980144.0,981037.0,981934.0,982828.0,983710.0,984569.0,985387.0,986143.0,986809.0
District of Columbia,708253.0,709231.0,710376.0,711671.0,713083.0,714552.0,715988.0,717263.0,718200.0,718567.0,718062.0,716304.0,712816.0
Florida,21492056.0,21505363.0,21517368.0,21528270.0,21538432.0,21548423.0,21559076.0,21571541.0,21587358.0,21608538.0,21637645.0,21677905.0,21733312.0
Georgia,10628020.0,10633684.0,10638445.0,10642345.0,10645509.0,10648170.0,10650694.0,10653619.0,10657685.0,10663885.0,10673508.0,10688199.0,10710017.0
Hawaii,1415615.0,1413541.0,1411215.0,1408690.0,1406048.0,1403408.0,1400936.0,1398849.0,1397431.0,1397040.0,1398121.0,1401222.0,1407006.0
Idaho,1789060.0,1791891.0,1794589.0,1797150.0,1799587.0,1801934.0,1804253.0,1806643.0,1809247.0,1812264.0,1815964.0,1820697.0,1826913.0
Illinois,12667017.0,12664404.0,12662179.0,12660229.0,12658376.0,12656354.0,12653799.0,12650216.0,12644966.0,12637228.0,12625973.0,12609927.0,12587530.0
Indiana,6731010.0,6728728.0,6725410.0,6721203.0,6716372.0,6711329.0,6706671.0,6703221.0,6702071.0,6704638.0,6712721.0,6728567.0,6754953.0
Iowa,3159596.0,3161074.0,3162623.0,3164205.0,3165764.0,3167230.0,3168510.0,3169488.0,3170019.0,3169926.0,3168997.0,3166976.0,3163561.0
Kansas,2912635.0,2912250.0,2911838.0,2911423.0,2911030.0,2910693.0,2910450.0,2910345.0,2910428.0,2910753.0,2911381.0,2912376.0,2913805.0
Kentucky,4472345.0,4475337.0,4478807.0,4482675.0,4486802.0,4490970.0,4494868.0,4498068.0,4500004.0,4499942.0,4496950.0,4489864.0,4477251.0
Louisiana,4658285.0,4655643.0,4652522.0,4648977.0,4645116.0,4641113.0,4637221.0,4633788.0,4631284.0,4630315.0,4631651.0,4636257.0,4645318.0
Maine,1345770.0,1344821.0,1343534.0,1341949.0,1340139.0,1338230.0,1336412.0,1334951.0,1334209.0,1334660.0,1336918.0,1341757.0,1350141.0
Maryland,6054954.0,6058214.0,6061890.0,6065888.0,6070051.0,6074147.0,6077847.0,6080708.0,6082152.0,6081434.0,6077620.0,6069550.0,6055802.0
Massachusetts,6894883.0,6896311.0,6897872.0,6899522.0,6901190.0,6902774.0,6904136.0,6905095.0,6905419.0,6904822.0,6902948.0,6899370.0,6893574.0
Michigan,9984795.0,9981258.0,9976960.0,9971965.0,9966416.0,9960554.0,9954747.0,9949521.0,9945597.0,9943928.0,9945751.0,9952637.0,9966555.0
Minnesota,5640053.0,5640638.0,5640771.0,5640485.0,5639859.0,5639022.0,5638174.0,5637600.0,5637687.0,5638949.0,5642049.0,5647829.0,5657342.0
Mississippi,2978227.0,2978571.0,2978980.0,2979410.0,2979798.0,2980067.0,2980115.0,2979820.0,2979030.0,2977567.0,2975214.0,2971718.0,2966786.0
