State,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20
Alabama,4907965.0,4909293.0,4910598.0,4911876.0,4913124.0,4914336.0,4915510.0,4916642.0,4917728.0,4918764.0,4919745.0,4920670.0,4921532.0
Alaska,733603.0,733403.0,733207.0,733012.0,732818.0,732623.0,732427.0,732228.0,732026.0,731819.0,731606.0,731386.0,731158.0
Arizona,7291843.0,7302690.0,7313546.0,7324404.0,7335261.0,7346109.0,7356945.0,7367764.0,7378558.0,7389325.0,7400058.0,7410751.0,7421401.0
Arkansas,3020985.0,3021773.0,3022566.0,3023362.0,3024160.0,3024959.0,3025759.0,3026559.0,3027357.0,3028154.0,3028947.0,3029737.0,3030522.0
California,39437610.0,39433956.0,39429840.0,39425283.0,39420309.0,39414938.0,39409192.0,39403094.0,39396665.0,39389927.0,39382902.0,39375612.0,39368078.0
Colorado,5758486.0,5762800.0,5767040.0,5771217.0,5775342.0,5779425.0,5783477.0,5787508.0,5791528.0,5795549.0,5799581.0,5803634.0,5807719.0
Connecticut,3566022.0,3565109.0,3564201.0,3563304.0,3562426.0,3561575.0,3560759.0,3559985.0,3559260.0,3558592.0,3557989.0,3557458.0,3557006.0
Delaware,976668.0,977496.0,978327.0,979161.0,979998.0,980838.0,981682.0,982529.0,983378.0,984231.0,985088.0,985947.0,986809.0
District of Columbia,708253.0,708556.0,708865.0,709183.0,709511.0,709852.0,710208.0,710583.0,710978.0,711397.0,711841.0,712313.0,712816.0
Florida,21492056.0,21511351.0,21530701.0,21550135.0,21569680.0,21589363.0,21609212.0,21629253.0,21649515.0,21670024.0,21690809.0,21711895.0,21733312.0
Georgia,10628020.0,10636481.0,10644732.0,10652747.0,10660500.0,10667965.0,10675117.0,10681930.0,10688379.0,10694438.0,10700081.0,10705282.0,10710017.0
Hawaii,1415615.0,1414837.0,1414056.0,1413275.0,1412500.0,1411734.0,1410982.0,1410249.0,1409538.0,1408854.0,1408201.0,1407583.0,1407006.0
Idaho,1789060.0,1792291.0,1795524.0,1798753.0,1801975.0,1805184.0,1808376.0,1811547.0,1814691.0,1817804.0,1820882.0,1823920.0,1826913.0
Illinois,12667017.0,12661631.0,12656077.0,12650337.0,12644394.0,12638233.0,12631834.0,12625183.0,12618261.0,12611052.0,12603538.0,12595703.0,12587530.0
Indiana,6731010.0,6733315.0,6735562.0,6737750.0,6739881.0,6741955.0,6743973.0,6745937.0,6747846.0,6749701.0,6751504.0,6753254.0,6754953.0
Iowa,3159596.0,3160350.0,3161055.0,3161703.0,3162286.0,3162794.0,3163220.0,3163555.0,3163790.0,3163917.0,3163926.0,3163811.0,3163561.0
Kansas,2912635.0,2912590.0,2912558.0,2912542.0,2912548.0,2912577.0,2912636.0,2912727.0,2912854.0,2913021.0,2913233.0,2913493.0,2913805.0
Kentucky,4472345.0,4472963.0,4473556.0,4474119.0,4474649.0,4475142.0,4475595.0,4476003.0,4476364.0,4476672.0,4476926.0,4477120.0,4477251.0
Louisiana,4658285.0,4657628.0,4656917.0,4656145.0,4655306.0,4654391.0,4653395.0,4652310.0,4651130.0,4649848.0,4648456.0,4646949.0,4645318.0
Maine,1345770.0,1346225.0,1346669.0,1347101.0,1347519.0,1347921.0,1348305.0,1348670.0,1349013.0,1349334.0,1349630.0,1349900.0,1350141.0
Maryland,6054954.0,6055715.0,6056383.0,6056949.0,6057402.0,6057733.0,6057931.0,6057988.0,6057894.0,6057637.0,6057210.0,6056601.0,6055802.0
Massachusetts,6894883.0,6895162.0,6895369.0,6895505.0,6895569.0,6895562.0,6895485.0,6895338.0,6895122.0,6894837.0,6894484.0,6894063.0,6893574.0
Michigan,9984795.0,9983931.0,9982955.0,9981865.0,9980659.0,9979335.0,9977889.0,9976321.0,9974628.0,9972807.0,9970856.0,9968772.0,9966555.0
Minnesota,5640053.0,5642117.0,5644081.0,5645939.0,5647690.0,5649328.0,5650850.0,5652253.0,5653532.0,5654685.0,5655706.0,5656593.0,5657342.0
Mississippi,2978227.0,2977766.0,2977249.0,2976665.0,2976004.0,2975257.0,2974413.0,2973464.0,2972399.0,2971209.0,2969883.0,2968412.0,2966786.0
Missouri,6140475.0,6141624.0,6142745.0,6143835.0,6144889.0,6145903.0,6146873.0,6147795.0,6148665.0,6149480.0,6150235.0,6150925.0,6151548.0
Montana,1070123.0,1070906.0,1071704.0,1072517.0,1073346.0,1074191.0,1075052.0,1075930.0,1076825.0,1077737.0,1078666.0,1079612.0,1080577.0
Nebraska,1932571.0,1933074.0,1933562.0,1934035.0,1934492.0,1934934.0,1935360.0,1935768.0,1936160.0,1936535.0,1936892.0,1937231.0,1937552.0
Nevada,3090771.0,3095425.0,3099983.0,3104436.0,3108774.0,3112988.0,3117069.0,3121009.0,3124797.0,3128426.0,3131885.0,3135166.0,3138259.0
New Hampshire,1360783.0,1361288.0,1361789.0,1362286.0,1362776.0,1363258.0,1363731.0,1364192.0,1364641.0,1365075.0,1365493.0,1365894.0,1366275.0
New Jersey,8891258.0,8890979.0,8890635.0,8890221.0,8889731.0,8889159.0,8888499.0,8887746.0,8886893.0,8885936.0,8884866.0,8883680.0,8882371.0
New Mexico,2099634.0,2100249.0,2100865.0,2101480.0,2102089.0,2102689.0,2103276.0,2103846.0,2104397.0,2104922.0,2105421.0,2105887.0,2106319.0
New York,19463131.0,19454454.0,19445456.0,19436133.0,19426480.0,19416492.0,19406164.0,19395491.0,19384468.0,19373090.0,19361352.0,19349249.0,19336776.0
North Carolina,10501384.0,10510100.0,10518742.0,10527309.0,10535798.0,10544210.0,10552543.0,10560795.0,10568967.0,10577057.0,10585064.0,10592986.0,10600823.0
North Dakota,763724.0,763971.0,764202.0,764416.0,764611.0,764785.0,764938.0,765067.0,765171.0,765249.0,765299.0,765319.0,765309.0
Ohio,11696507.0,11697368.0,11698080.0,11698626.0,11698989.0,11699152.0,11699096.0,11698806.0,11698262.0,11697449.0,11696349.0,11694944.0,11693217.0
Oklahoma,3960676.0,3962312.0,3963966.0,3965633.0,3967312.0,3968999.0,3970691.0,3972385.0,3974079.0,3975768.0,3977451.0,3979123.0,3980783.0
Oregon,4216116.0,4218615.0,4221060.0,4223445.0,4225767.0,4228021.0,4230202.0,4232306.0,4234328.0,4236264.0,4238109.0,4239858.0,4241507.0
Pennsylvania,12798883.0,12797296.0,12795692.0,12794091.0,12792515.0,12790984.0,12789518.0,12788138.0,12786866.0,12785720.0,12784723.0,12783894.0,12783254.0
Rhode Island,1058158.0,1057948.0,1057744.0,1057551.0,1057374.0,1057217.0,1057087.0,1056987.0,1056923.0,1056900.0,1056923.0,1056996.0,1057125.0
South Carolina,5157702.0,5163070.0,5168394.0,5173668.0,5178887.0,5184046.0,5189139.0,5194163.0,5199110.0,5203977.0,5208758.0,5213447.0,5218040.0
South Dakota,887127.0,887785.0,888423.0,889037.0,889622.0,890174.0,890688.0,891159.0,891583.0,891956.0,892272.0,892527.0,892717.0
Tennessee,6830325.0,6834551.0,6838820.0,6843147.0,6847543.0,6852023.0,6856600.0,6861286.0,6866096.0,6871043.0,6876139.0,6881398.0,6886834.0
Texas,28986794.0,29018114.0,29049491.0,29080898.0,29112310.0,29143703.0,29175050.0,29206327.0,29237507.0,29268566.0,29299477.0,29330217.0,29360759.0
Utah,3203383.0,3207317.0,3211239.0,3215150.0,3219050.0,3222939.0,3226817.0,3230685.0,3234543.0,3238391.0,3242229.0,3246059.0,3249879.0
Vermont,624046.0,623986.0,623926.0,623867.0,623808.0,623750.0,623691.0,623633.0,623576.0,623518.0,623461.0,623404.0,623347.0
Virginia,8556642.0,8560339.0,8563937.0,8567418.0,8570764.0,8573957.0,8576980.0,8579816.0,8582446.0,8584854.0,8587021.0,8588930.0,8590563.0
Washington,7614024.0,7620982.0,7627885.0,7634732.0,7641523.0,7648254.0,7654925.0,7661535.0,7668082.0,7674564.0,7680981.0,7687331.0,7693612.0
West Virginia,1795263.0,1794414.0,1793565.0,1792715.0,1791862.0,1791006.0,1790144.0,1789275.0,1788399.0,1787513.0,1786617.0,1785709.0,1784787.0
Wisconsin,5824581.0,5825652.0,5826668.0,5827624.0,5828514.0,5829334.0,5830077.0,5830740.0,5831316.0,5831801.0,5832189.0,5832476.0,5832655.0
Wyoming,580116.0,580251.0,580394.0,580545.0,580706.0,580875.0,581053.0,581241.0,581438.0,581645.0,581862.0,582090.0,582328.0
