,Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
0,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,All Ages,507227.0,3895460.0,436916.0,245524.0,8959.0,706352.0,
1,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,Under 1 year,45.0,20998.0,226.0,7.0,21.0,285.0,
2,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,0-17 years,216.0,36860.0,623.0,39.0,178.0,978.0,
3,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,1-4 years,28.0,3808.0,131.0,5.0,60.0,214.0,
4,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,5-14 years,81.0,6143.0,183.0,16.0,76.0,324.0,
5,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,15-24 years,733.0,39692.0,866.0,291.0,81.0,1384.0,
6,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,18-29 years,1822.0,70232.0,2018.0,801.0,150.0,3177.0,
7,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,25-34 years,3255.0,82207.0,3239.0,1474.0,237.0,5239.0,
8,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,30-39 years,5352.0,99966.0,4897.0,2449.0,317.0,8095.0,
9,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,35-44 years,8537.0,118067.0,7614.0,4016.0,357.0,12456.0,
10,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,40-49 years,14421.0,150648.0,12361.0,7058.0,493.0,20148.0,
11,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,45-54 years,23730.0,217730.0,20663.0,12075.0,772.0,32975.0,
12,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,50-64 years,75224.0,635942.0,69135.0,39562.0,2117.0,106594.0,
13,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,55-64 years,60626.0,505003.0,56112.0,32025.0,1651.0,86115.0,
14,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,65-74 years,110508.0,780433.0,100141.0,58668.0,1922.0,153598.0,
15,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,75-84 years,141384.0,952149.0,123509.0,71373.0,1945.0,195197.0,
16,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,All Sexes,85 years and over,158300.0,1169230.0,124232.0,65574.0,1837.0,218565.0,
17,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,All Ages,277393.0,2040850.0,244586.0,141766.0,4627.0,384084.0,
18,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,Under 1 year,29.0,11624.0,135.0,5.0,10.0,169.0,
19,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,0-17 years,126.0,21672.0,345.0,23.0,97.0,545.0,
20,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,1-4 years,17.0,2176.0,62.0,3.0,38.0,114.0,
21,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,5-14 years,45.0,3657.0,101.0,12.0,37.0,171.0,
22,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,15-24 years,440.0,29312.0,521.0,172.0,38.0,823.0,
23,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,18-29 years,1134.0,51331.0,1216.0,469.0,77.0,1949.0,
24,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,25-34 years,2068.0,57976.0,1974.0,911.0,116.0,3235.0,
25,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,30-39 years,3504.0,67868.0,3041.0,1610.0,157.0,5077.0,
26,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,35-44 years,5606.0,77387.0,4709.0,2639.0,188.0,7837.0,
27,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,40-49 years,9499.0,95934.0,7629.0,4627.0,273.0,12725.0,
28,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,45-54 years,15824.0,136694.0,12900.0,8048.0,451.0,21046.0,
29,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,50-64 years,48520.0,393340.0,42520.0,25361.0,1226.0,66683.0,
30,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,55-64 years,38754.0,311319.0,34349.0,20300.0,952.0,53584.0,
31,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,65-74 years,67780.0,454505.0,60686.0,36423.0,1072.0,92914.0,
32,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,75-84 years,79711.0,498154.0,70971.0,41850.0,979.0,109658.0,
33,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Male,85 years and over,67119.0,458046.0,58178.0,31403.0,746.0,94533.0,
34,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,All Ages,229834.0,1854610.0,192330.0,103758.0,4332.0,322268.0,
35,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,Under 1 year,16.0,9374.0,91.0,2.0,11.0,116.0,
36,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,0-17 years,90.0,15188.0,278.0,16.0,81.0,433.0,
37,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,1-4 years,11.0,1632.0,69.0,2.0,22.0,100.0,
38,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,5-14 years,36.0,2486.0,82.0,4.0,39.0,153.0,
39,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,15-24 years,293.0,10380.0,345.0,119.0,43.0,561.0,
40,3/10/2021,1/1/2020,3/6/2021,By Total,,,United States,Female,18-29 years,688.0,18901.0,802.0,332.0,73.0,1228.0,
