,Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
2754,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,All Ages,378221.0,3361745.0,347837.0,176957.0,8773.0,556728.0,
2755,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,Under 1 year,42.0,19134.0,219.0,7.0,21.0,275.0,
2756,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,0-17 years,180.0,33477.0,585.0,33.0,177.0,909.0,
2757,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,1-4 years,24.0,3470.0,126.0,4.0,60.0,206.0,
2758,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,5-14 years,65.0,5567.0,163.0,12.0,75.0,291.0,
2759,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,15-24 years,588.0,35609.0,761.0,220.0,81.0,1205.0,
2760,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,18-29 years,1425.0,62751.0,1738.0,597.0,147.0,2702.0,
2761,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,25-34 years,2527.0,72955.0,2748.0,1108.0,233.0,4383.0,
2762,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,30-39 years,4171.0,88239.0,4063.0,1835.0,316.0,6693.0,
2763,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,35-44 years,6627.0,103720.0,6232.0,2988.0,356.0,10191.0,
2764,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,40-49 years,11067.0,132014.0,10040.0,5228.0,489.0,16300.0,
2765,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,45-54 years,17932.0,189975.0,16554.0,8799.0,764.0,26338.0,
2766,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,50-64 years,55707.0,551765.0,54769.0,28170.0,2078.0,84079.0,
2767,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,55-64 years,44745.0,437816.0,44392.0,22725.0,1617.0,67794.0,
2768,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,65-74 years,80728.0,670003.0,78509.0,41467.0,1876.0,119366.0,
2769,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,75-84 years,104311.0,816524.0,97337.0,50999.0,1892.0,152289.0,
2770,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,All Sexes,85 years and over,120632.0,1006972.0,100796.0,48628.0,1798.0,174390.0,
2771,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,All Ages,205515.0,1759101.0,193157.0,101533.0,4534.0,300965.0,
2772,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,Under 1 year,29.0,10612.0,129.0,5.0,10.0,163.0,
2773,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,0-17 years,105.0,19711.0,325.0,18.0,97.0,509.0,
2774,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,1-4 years,14.0,1997.0,59.0,2.0,38.0,109.0,
2775,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,5-14 years,37.0,3325.0,92.0,9.0,37.0,157.0,
2776,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,15-24 years,361.0,26332.0,465.0,134.0,38.0,726.0,
2777,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,18-29 years,899.0,45943.0,1050.0,352.0,75.0,1664.0,
2778,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,25-34 years,1611.0,51488.0,1662.0,680.0,114.0,2696.0,
2779,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,30-39 years,2761.0,59978.0,2524.0,1220.0,157.0,4207.0,
2780,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,35-44 years,4396.0,68046.0,3865.0,1989.0,187.0,6432.0,
2781,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,40-49 years,7375.0,84143.0,6190.0,3457.0,272.0,10331.0,
2782,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,45-54 years,12043.0,119243.0,10281.0,5912.0,448.0,16780.0,
2783,3/10/2021,1/1/2020,12/31/2020,By Year,2020.0,,United States,Male,50-64 years,36086.0,340912.0,33511.0,18132.0,1200.0,52456.0,
