,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1-4 years,-7.209,4.166,-15.272,-0.108,0.071,0.061,4305.0,2254.0,1.0
15-24 years,3.107,0.762,1.59,4.599,0.032,0.023,641.0,691.0,1.0
25-34 years,5.411,0.74,4.018,6.836,0.032,0.023,596.0,663.0,1.0
35-44 years,6.369,0.735,4.956,7.771,0.032,0.023,593.0,657.0,1.0
45-54 years,6.953,0.736,5.585,8.404,0.032,0.023,591.0,651.0,1.0
5-14 years,-4.566,3.115,-10.701,0.656,0.059,0.047,3536.0,2221.0,1.0
55-64 years,7.548,0.735,6.144,8.981,0.032,0.023,591.0,654.0,1.0
65-74 years,7.904,0.734,6.478,9.301,0.032,0.023,591.0,644.0,1.0
75-84 years,8.011,0.735,6.63,9.456,0.032,0.023,592.0,638.0,1.0
85 years and over,8.011,0.735,6.641,9.466,0.032,0.023,591.0,643.0,1.0
