,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1-4 years,-7.028,3.988,-14.687,-0.326,0.07,0.06,4012.0,2117.0,1.0
15-24 years,3.055,0.762,1.77,4.619,0.029,0.022,769.0,1000.0,1.01
25-34 years,5.366,0.733,4.115,6.824,0.029,0.021,750.0,916.0,1.01
35-44 years,6.323,0.732,5.099,7.802,0.029,0.021,745.0,929.0,1.01
45-54 years,6.906,0.731,5.678,8.378,0.029,0.021,748.0,923.0,1.01
5-14 years,-4.595,3.271,-11.325,0.387,0.074,0.063,2818.0,1837.0,1.0
55-64 years,7.501,0.731,6.275,8.971,0.029,0.021,749.0,907.0,1.01
65-74 years,7.858,0.731,6.653,9.355,0.029,0.021,749.0,910.0,1.01
75-84 years,7.965,0.731,6.752,9.453,0.029,0.021,748.0,914.0,1.01
85 years and over,7.965,0.731,6.695,9.393,0.029,0.021,749.0,936.0,1.01
