,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1-4 years,-7.026,3.878,-14.828,-0.347,0.072,0.059,3371.0,2143.0,1.0
15-24 years,3.096,0.76,1.776,4.698,0.028,0.02,785.0,974.0,1.0
25-34 years,5.405,0.734,4.029,6.817,0.028,0.02,747.0,949.0,1.0
35-44 years,6.362,0.73,4.964,7.757,0.028,0.02,745.0,941.0,1.0
45-54 years,6.945,0.73,5.657,8.456,0.028,0.02,743.0,941.0,1.0
5-14 years,-4.526,3.081,-10.586,0.583,0.062,0.049,3112.0,2285.0,1.0
55-64 years,7.541,0.73,6.159,8.953,0.028,0.02,740.0,928.0,1.0
65-74 years,7.897,0.73,6.532,9.326,0.028,0.02,741.0,928.0,1.0
75-84 years,8.005,0.73,6.67,9.468,0.028,0.02,741.0,932.0,1.0
85 years and over,8.004,0.73,6.637,9.432,0.028,0.02,741.0,923.0,1.0
